Monthly Sea Ice Concentration for the Marguerite Bay area
Dataset: GSFC Bootstrap time series data (version 2.0) for 11/1978 to 12/2017, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Dec 2018 and Jan-Apr 2019
Nodata: -999.00
Caution: The 2018-19 monthly data are preliminary and will be updated when available (be particuarly
        cautious of the zero values in summer; some will likely get upgraded to low SIC

Year         Jan       Feb       Mar      Apr        May       Jun       Jul       Aug       Sep       Oct       Nov       Dec

1978	   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00     95.12     94.59
1979	     94.12     87.94     84.41     76.41     87.91     84.59     84.34     89.38     93.00     93.66     92.19     97.62
1980	     96.47     91.94     83.06     88.75     93.16     94.09     91.50     93.88     86.44     88.88     84.38     90.62
1981	     91.12     86.91     63.66     66.94     85.91     90.25     80.88     81.81     85.62     84.03     87.78     96.00
1982	     92.72     79.06     47.06     46.12     67.25     78.81     88.91     87.47     92.69     93.09     91.38     95.53
1983	     81.00     54.38     29.41     38.53     42.41     66.47     71.47     84.47     86.84     89.50     89.62     85.81
1984	     69.75     49.75     23.88     25.19     48.91     79.41     83.94     84.97     86.31     88.19     87.56     72.06
1985	     50.22     33.41     14.06     10.97     23.47     62.16     80.38     83.44     83.19     90.28     96.22     94.53
1986	     72.59     40.00     15.47     19.97     32.31     70.53     79.06     89.09     91.81     89.06     85.47     86.00
1987	     73.59     46.31     29.47     62.78     74.72     86.59     93.53     94.28     92.66     92.00     96.22     97.88
1988	     97.16     91.53     61.28     57.81     67.56     78.25     86.03     91.66     87.12     80.72     55.72     26.94
1989	     10.62      9.09      7.25      8.41      6.25     55.41     75.66     84.97     82.34     74.41     62.22     36.78
1990	     12.31      9.12      6.31      9.47     34.09     38.00     62.25     82.06     90.72     83.72     70.75     38.88
1991	     18.03      7.41      5.19      7.03     49.81     84.97     88.34     86.91     88.09     90.41     90.97     87.19
1992	     63.19     38.47     27.78     40.78     79.28     91.38     93.72     91.56     89.75     88.09     93.41     96.25
1993	     79.84     35.19     15.12     29.41     63.00     85.03     89.28     88.25     88.91     89.56     88.91     84.00
1994	     64.12     34.81     21.62     19.47     58.81     84.75     87.31     87.69     87.69     92.69     86.47     85.72
1995	     77.38     57.25     41.75     28.00     43.47     80.38     87.28     91.03     90.53     94.19     91.81     93.91
1996	     86.56     66.34     51.47     45.41     45.34     75.12     83.03     89.69     83.31     88.78     91.53     81.69
1997	     55.06     37.16     19.16     18.34     51.22     85.31     92.97     90.22     93.03     89.25     88.16     94.62
1998	     68.19     45.06     16.12      9.53     36.06     67.62     68.22     72.28     79.47     74.88     76.59     40.09
1999	     11.19      7.16      6.28      6.78     12.41     49.22     74.28     89.81     93.25     89.66     89.34     93.81
2000	     81.47     56.03     48.12     38.31     44.97     68.22     84.88     87.28     88.56     86.41     89.69     62.00
2001	     21.84      8.31      4.59      7.50      8.09     22.56     79.56     83.88     84.75     89.59     89.16     93.34
2002	     84.28     75.22     62.25     47.81     79.72     92.28     93.97     94.69     93.03     86.62     86.53     83.75
2003	     57.97     24.84      8.78      8.00     33.22     75.25     69.56     83.00     90.44     88.16     76.28     44.91
2004	     23.50      9.62      7.69      9.75     20.59     65.94     86.50     90.59     91.56     91.47     91.50     93.22
2005	     77.28     72.34     63.28     63.31     79.03     87.25     91.50     91.25     92.50     90.62     96.38     92.50
2006	     91.44     75.44     30.03     23.72     41.91     72.16     86.28     92.84     89.75     92.28     84.81     61.03
2007	     36.31     14.12      7.31      8.62     17.94     42.41     70.28     71.22     78.59     78.34     45.69     27.28
2008	     13.81      7.47      6.88      8.72      8.78     18.97     72.03     84.84     89.16     84.03     67.84     66.22
2009	     52.38     31.41     14.09     15.09     26.25     49.09     75.56     81.72     84.12     83.19     74.06     41.91
2010	     14.47      7.41      5.53      7.81     16.03     31.53     75.50     83.53     82.91     75.97     79.12     55.25
2011	     31.31     11.19      8.00     10.31     11.62     44.25     77.06     91.41     85.53     88.44     76.34     88.81
2012	     79.03     50.41     34.69     21.56     25.06     66.22     75.59     84.38     87.88     91.56     84.09     53.22
2013	     19.75      9.56      6.66      8.56     25.22     76.66     83.62     83.69     92.50     89.91     87.69     79.66
2014	     44.47     23.00     12.31     13.88     32.12     70.53     82.94     90.69     92.50     91.94     80.34     81.12
2015	     58.19     49.53     41.03     39.88     65.22     85.12     90.12     91.31     91.62     90.97     90.38     90.41
2016	     72.19     61.53     43.19     47.75     69.28     60.78     66.41     72.28     72.69     84.78     86.22     95.12
2017	     72.03     51.72     29.62     13.72      5.56     17.16     56.78     62.47     81.44     63.84     75.09     72.06
2018	     19.72      4.94      2.09      2.00      3.19     33.53     73.59     78.22     77.34     75.19     83.78     87.41
2019	     58.03     26.66      4.19      5.66   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00
